ACC=0.607750, f1_macro=0.595283, precision_macro=0.673554, recall_macro=0.645880, f1_micro=0.607750, precision_micro=0.607750, recall_micro=0.607750, NMI=0.339116, ADJ_RAND_SCORE=0.296255
ACC=0.607851, f1_macro=0.595401, precision_macro=0.673676, recall_macro=0.645965, f1_micro=0.607851, precision_micro=0.607851, recall_micro=0.607851, NMI=0.339199, ADJ_RAND_SCORE=0.296315
ACC=0.607902, f1_macro=0.595510, precision_macro=0.673686, recall_macro=0.645968, f1_micro=0.607902, precision_micro=0.607902, recall_micro=0.607902, NMI=0.339183, ADJ_RAND_SCORE=0.296261
ACC=0.607851, f1_macro=0.595401, precision_macro=0.673676, recall_macro=0.645965, f1_micro=0.607851, precision_micro=0.607851, recall_micro=0.607851, NMI=0.339199, ADJ_RAND_SCORE=0.296315
ACC=0.607851, f1_macro=0.595401, precision_macro=0.673676, recall_macro=0.645965, f1_micro=0.607851, precision_micro=0.607851, recall_micro=0.607851, NMI=0.339199, ADJ_RAND_SCORE=0.296315
ACC=0.607851, f1_macro=0.595406, precision_macro=0.673640, recall_macro=0.646003, f1_micro=0.607851, precision_micro=0.607851, recall_micro=0.607851, NMI=0.339333, ADJ_RAND_SCORE=0.296393
ACC=0.607902, f1_macro=0.595481, precision_macro=0.673717, recall_macro=0.646007, f1_micro=0.607902, precision_micro=0.607902, recall_micro=0.607902, NMI=0.339145, ADJ_RAND_SCORE=0.296258
ACC=0.607800, f1_macro=0.595354, precision_macro=0.673573, recall_macro=0.645960, f1_micro=0.607800, precision_micro=0.607800, recall_micro=0.607800, NMI=0.339260, ADJ_RAND_SCORE=0.296334
ACC=0.607851, f1_macro=0.595401, precision_macro=0.673676, recall_macro=0.645965, f1_micro=0.607851, precision_micro=0.607851, recall_micro=0.607851, NMI=0.339199, ADJ_RAND_SCORE=0.296315
ACC=0.607953, f1_macro=0.595533, precision_macro=0.673784, recall_macro=0.646050, f1_micro=0.607953, precision_micro=0.607953, recall_micro=0.607953, NMI=0.339218, ADJ_RAND_SCORE=0.296317
ACC=0.612568, f1_macro=0.601327, precision_macro=0.676136, recall_macro=0.648938, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339219, ADJ_RAND_SCORE=0.296326
ACC=0.612568, f1_macro=0.601327, precision_macro=0.676136, recall_macro=0.648938, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339219, ADJ_RAND_SCORE=0.296326
ACC=0.612568, f1_macro=0.601321, precision_macro=0.676172, recall_macro=0.648900, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339086, ADJ_RAND_SCORE=0.296250
ACC=0.612466, f1_macro=0.601024, precision_macro=0.676702, recall_macro=0.649280, f1_micro=0.612466, precision_micro=0.612466, recall_micro=0.612466, NMI=0.339799, ADJ_RAND_SCORE=0.296580
ACC=0.612568, f1_macro=0.601327, precision_macro=0.676136, recall_macro=0.648938, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339219, ADJ_RAND_SCORE=0.296326
ACC=0.612568, f1_macro=0.601327, precision_macro=0.676136, recall_macro=0.648938, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339219, ADJ_RAND_SCORE=0.296326
ACC=0.612568, f1_macro=0.601327, precision_macro=0.676136, recall_macro=0.648938, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339219, ADJ_RAND_SCORE=0.296326
ACC=0.612669, f1_macro=0.601390, precision_macro=0.676528, recall_macro=0.649141, f1_micro=0.612669, precision_micro=0.612669, recall_micro=0.612669, NMI=0.339620, ADJ_RAND_SCORE=0.296556
ACC=0.612568, f1_macro=0.601327, precision_macro=0.676136, recall_macro=0.648938, f1_micro=0.612568, precision_micro=0.612568, recall_micro=0.612568, NMI=0.339219, ADJ_RAND_SCORE=0.296326
ACC=0.612517, f1_macro=0.601272, precision_macro=0.676098, recall_macro=0.649010, f1_micro=0.612517, precision_micro=0.612517, recall_micro=0.612517, NMI=0.339172, ADJ_RAND_SCORE=0.296264
ACC=0.613785, f1_macro=0.601776, precision_macro=0.677372, recall_macro=0.650455, f1_micro=0.613785, precision_micro=0.613785, recall_micro=0.613785, NMI=0.336563, ADJ_RAND_SCORE=0.294381
ACC=0.613836, f1_macro=0.601841, precision_macro=0.677422, recall_macro=0.650497, f1_micro=0.613836, precision_micro=0.613836, recall_micro=0.613836, NMI=0.336575, ADJ_RAND_SCORE=0.294386
ACC=0.613836, f1_macro=0.601841, precision_macro=0.677422, recall_macro=0.650497, f1_micro=0.613836, precision_micro=0.613836, recall_micro=0.613836, NMI=0.336575, ADJ_RAND_SCORE=0.294386
ACC=0.613836, f1_macro=0.601841, precision_macro=0.677422, recall_macro=0.650497, f1_micro=0.613836, precision_micro=0.613836, recall_micro=0.613836, NMI=0.336575, ADJ_RAND_SCORE=0.294386
ACC=0.613785, f1_macro=0.601776, precision_macro=0.677372, recall_macro=0.650455, f1_micro=0.613785, precision_micro=0.613785, recall_micro=0.613785, NMI=0.336563, ADJ_RAND_SCORE=0.294381
ACC=0.613836, f1_macro=0.601841, precision_macro=0.677422, recall_macro=0.650497, f1_micro=0.613836, precision_micro=0.613836, recall_micro=0.613836, NMI=0.336575, ADJ_RAND_SCORE=0.294386
ACC=0.613785, f1_macro=0.601776, precision_macro=0.677372, recall_macro=0.650455, f1_micro=0.613785, precision_micro=0.613785, recall_micro=0.613785, NMI=0.336563, ADJ_RAND_SCORE=0.294381
ACC=0.613785, f1_macro=0.601776, precision_macro=0.677372, recall_macro=0.650455, f1_micro=0.613785, precision_micro=0.613785, recall_micro=0.613785, NMI=0.336563, ADJ_RAND_SCORE=0.294381
ACC=0.613836, f1_macro=0.601841, precision_macro=0.677422, recall_macro=0.650497, f1_micro=0.613836, precision_micro=0.613836, recall_micro=0.613836, NMI=0.336575, ADJ_RAND_SCORE=0.294386
ACC=0.613836, f1_macro=0.601841, precision_macro=0.677422, recall_macro=0.650497, f1_micro=0.613836, precision_micro=0.613836, recall_micro=0.613836, NMI=0.336575, ADJ_RAND_SCORE=0.294386
ACC=0.615053, f1_macro=0.603318, precision_macro=0.676123, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329789, ADJ_RAND_SCORE=0.290370
ACC=0.615053, f1_macro=0.603318, precision_macro=0.676123, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329789, ADJ_RAND_SCORE=0.290370
ACC=0.615053, f1_macro=0.603337, precision_macro=0.676163, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329875, ADJ_RAND_SCORE=0.290409
ACC=0.615053, f1_macro=0.603318, precision_macro=0.676123, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329789, ADJ_RAND_SCORE=0.290370
ACC=0.615053, f1_macro=0.603318, precision_macro=0.676123, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329789, ADJ_RAND_SCORE=0.290370
ACC=0.615053, f1_macro=0.603293, precision_macro=0.676068, recall_macro=0.650222, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329890, ADJ_RAND_SCORE=0.290458
ACC=0.615053, f1_macro=0.603318, precision_macro=0.676123, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329789, ADJ_RAND_SCORE=0.290370
ACC=0.615053, f1_macro=0.603337, precision_macro=0.676163, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329875, ADJ_RAND_SCORE=0.290409
ACC=0.615053, f1_macro=0.603318, precision_macro=0.676123, recall_macro=0.650183, f1_micro=0.615053, precision_micro=0.615053, recall_micro=0.615053, NMI=0.329789, ADJ_RAND_SCORE=0.290370
ACC=0.615002, f1_macro=0.603254, precision_macro=0.676074, recall_macro=0.650141, f1_micro=0.615002, precision_micro=0.615002, recall_micro=0.615002, NMI=0.329776, ADJ_RAND_SCORE=0.290363
ACC=0.616524, f1_macro=0.605184, precision_macro=0.675916, recall_macro=0.649738, f1_micro=0.616524, precision_micro=0.616524, recall_micro=0.616524, NMI=0.324040, ADJ_RAND_SCORE=0.286636
ACC=0.616524, f1_macro=0.605184, precision_macro=0.675916, recall_macro=0.649738, f1_micro=0.616524, precision_micro=0.616524, recall_micro=0.616524, NMI=0.324040, ADJ_RAND_SCORE=0.286636
ACC=0.616524, f1_macro=0.605184, precision_macro=0.675916, recall_macro=0.649738, f1_micro=0.616524, precision_micro=0.616524, recall_micro=0.616524, NMI=0.324040, ADJ_RAND_SCORE=0.286636
ACC=0.616372, f1_macro=0.604989, precision_macro=0.675836, recall_macro=0.649687, f1_micro=0.616372, precision_micro=0.616372, recall_micro=0.616372, NMI=0.323903, ADJ_RAND_SCORE=0.286532
ACC=0.616524, f1_macro=0.605184, precision_macro=0.675916, recall_macro=0.649738, f1_micro=0.616524, precision_micro=0.616524, recall_micro=0.616524, NMI=0.324040, ADJ_RAND_SCORE=0.286636
ACC=0.616524, f1_macro=0.605184, precision_macro=0.675916, recall_macro=0.649738, f1_micro=0.616524, precision_micro=0.616524, recall_micro=0.616524, NMI=0.324040, ADJ_RAND_SCORE=0.286636
ACC=0.616321, f1_macro=0.604908, precision_macro=0.675744, recall_macro=0.649682, f1_micro=0.616321, precision_micro=0.616321, recall_micro=0.616321, NMI=0.323956, ADJ_RAND_SCORE=0.286500
